,台北市政府,新北市政府,桃園市政府,台中市政府,台南市政府,高雄市政府,基隆市政府,新竹市政府,苗栗縣政府,彰化縣政府,南投縣政府,雲林縣政府,嘉義縣政府,屏東縣政府,宜蘭縣政府,花蓮縣政府,台東縣政府,澎湖縣政府,新竹縣政府,嘉義市政府
台北市政府,0.0,16.58,44.52,165.1,307.64,352.76,23.42,85.22,115.04,176.86,197.45,228.24,263.95,365.98,57.71,158.1,325.63,490.98,77.21,247.86
新北市政府,14.38,0.0,31.35,151.21,293.75,338.87,42.66,70.42,101.15,162.97,183.56,214.35,250.06,352.09,69.92,170.31,337.84,477.1,64.36,233.97
桃園市政府,42.04,31.75,0.0,137.79,280.33,325.45,58.76,52.56,84.46,149.54,170.13,200.92,236.64,338.66,96.14,196.53,483.45,463.67,44.54,220.55
台中市政府,168.9,150.18,137.44,0.0,154.17,199.29,185.61,94.03,58.71,23.38,32.46,74.76,110.47,212.5,214.57,314.96,357.29,337.51,93.74,94.39
台南市政府,312.61,293.9,281.16,154.25,0.0,49.55,329.33,237.74,202.43,131.91,139.63,93.42,65.25,62.77,358.28,458.67,207.55,187.77,237.45,70.26
高雄市政府,357.55,338.84,326.1,199.19,49.79,0.0,374.27,282.68,247.37,176.85,183.41,138.36,110.19,23.93,403.22,331.88,165.94,138.84,282.39,119.24
基隆市政府,23.02,43.98,60.73,186.67,329.21,374.33,0.0,101.44,133.34,198.42,219.01,249.8,285.51,387.54,64.22,164.61,332.14,512.55,93.42,269.43
新竹市政府,85.08,71.34,53.63,94.69,237.23,282.35,101.8,0.0,41.36,106.45,127.04,157.83,193.54,295.57,135.72,236.11,440.35,420.57,6.24,177.45
苗栗縣政府,114.9,100.97,88.15,58.09,200.63,245.75,136.32,40.6,0.0,69.85,90.44,121.23,156.94,258.97,165.35,265.75,403.75,383.98,44.44,140.85
彰化縣政府,181.81,163.09,150.36,23.45,132.14,177.26,198.53,106.94,71.62,0.0,35.81,52.73,88.44,190.47,227.48,327.87,335.26,315.48,106.65,72.36
南投縣政府,202.37,183.66,170.92,31.87,136.88,179.52,219.09,127.5,92.19,37.09,0.0,47.67,92.9,189.86,248.04,212.15,337.51,317.74,127.21,65.43
雲林縣政府,232.55,213.84,201.1,74.19,93.66,138.78,249.27,157.69,122.37,51.85,41.79,0.0,49.97,151.99,278.22,378.61,296.78,277.0,157.39,34.99
嘉義縣政府,269.52,250.81,238.07,111.16,64.56,109.68,286.24,194.66,159.34,88.82,95.96,50.34,0.0,122.89,315.19,415.58,267.68,247.9,194.36,19.54
屏東縣政府,365.1,346.39,333.65,204.27,65.4,23.38,381.82,290.24,254.92,184.4,175.91,142.87,117.75,0.0,410.77,319.42,153.49,161.6,289.94,111.74
宜蘭縣政府,54.44,69.64,94.74,214.6,357.14,402.26,61.79,133.81,164.54,226.36,246.95,277.74,313.45,415.48,0.0,107.78,275.32,540.48,129.74,297.36
花蓮縣政府,155.82,171.03,196.12,315.98,458.52,332.15,163.17,235.19,265.92,327.74,212.23,379.12,414.83,319.87,106.11,0.0,166.91,470.37,231.12,277.23
台東縣政府,324.22,339.43,483.64,354.26,207.77,166.14,331.57,440.23,404.91,334.39,325.9,292.86,267.74,153.86,274.51,167.63,0.0,304.36,439.93,261.73
澎湖縣政府,495.0,476.29,463.55,336.64,187.24,138.62,511.72,420.13,384.81,314.3,321.11,275.81,247.64,161.9,540.67,469.86,303.92,0.0,419.84,256.94
新竹縣政府,76.78,64.19,45.33,94.47,237.01,282.13,93.5,5.91,41.14,106.23,126.82,157.61,193.32,295.35,130.77,231.16,440.13,420.36,0.0,177.24
嘉義市政府,252.38,233.66,220.93,96.5,69.9,115.02,269.1,177.51,142.19,71.68,68.14,35.1,19.19,128.23,298.05,276.78,273.02,253.24,177.22,0.0
